,BELL 230 A1 SA  |A___ROCOF____1R_.R,CHJO 500 A1 SA  |A___ROCOF____1R_.R
48,-0.0047683739103376865,-0.007870984263718128
49,-0.005238850135356188,-0.008621226996183395
50,-0.009117135778069496,-0.00907897762954235
51,-0.012003583833575249,-0.01007080078125
52,-0.01155853271484375,-0.010706596076488495
53,-0.010477693751454353,-0.009829206392168999
54,-0.010019950568675995,-0.008265171200037003
55,-0.013020839542150497,-0.007960000075399876
56,-0.013313284143805504,-0.00836691353470087
57,-0.011011753231287003,-0.008277883753180504
58,-0.010808310471475124,-0.0069936225190758705
59,-0.01074471976608038,-0.006332402117550373
60,-0.011583985760807991,-0.006332374177873135
61,-0.010147090069949627,-0.006217961199581623
62,-0.008761086501181126,-0.005620317533612251
63,-0.009625749662518501,-0.0052643101662397385
64,-0.009371442720293999,-0.0066248467192053795
65,-0.009053545072674751,-0.0089263916015625
66,-0.007387809455394745,-0.010223393328487873
67,-0.00492095947265625,-0.009918222203850746
68,-0.0027338694781064987,-0.01005806028842926
69,-0.002136239781975746,-0.010782871395349503
70,-0.0031789205968379974,-0.010248832404613495
71,-0.004132557660341263,-0.008443202823400497
72,-0.004412345588207245,-0.0075276754796504974
73,-0.004641199484467506,-0.007934560999274254
74,-0.004386920481920242,-0.007807435467839241
75,-0.003662109375,-0.006968183442950249
76,-0.004666624590754509,-0.006561269983649254
77,-0.005785636603832245,-0.007336931303143501
78,-0.006332388147711754,-0.008608466014266014
79,-0.0069554708898067474,-0.009053545072674751
80,-0.010058088228106499,-0.009002722799777985
81,-0.013415012508630753,-0.009702024981379509
82,-0.012550363317131996,-0.011011781170964241
83,-0.010617552325129509,-0.010795556008815765
84,-0.012868233025074005,-0.00949859619140625
85,-0.01719161868095398,-0.00858306884765625
86,-0.017445869743824005,-0.008697537705302238
87,-0.014292430132627487,-0.008697481825947762
88,-0.012804586440324783,-0.008608521893620491
89,-0.012906426563858986,-0.009206123650074005
90,-0.01201629638671875,-0.010108938440680504
91,-0.008773813024163246,-0.011100796982645988
92,-0.0050099752843379974,-0.01166023313999176
93,-0.005493219941854477,-0.0116729736328125
94,-0.00583648681640625,-0.010821092873811722
95,-0.005785580724477768,-0.010223407298326492
96,-0.00436149537563324,-0.009651146829128265
97,-0.0026067160069942474,-0.00891365110874176
98,-0.0022506527602672577,-0.008455943316221237
99,-0.0057220458984375,-0.008532162755727768
100,-0.01041412353515625,-0.009524133056402206
101,-0.012855492532253265,-0.01073196530342102
102,-0.012308768928050995,-0.011863689869642258
103,-0.0135040283203125,-0.012219753116369247
104,-0.014839209616184235,-0.011978130787611008
105,-0.01190185546875,-0.012194328010082245
106,-0.010070856660604477,-0.01291908323764801
107,-0.012575704604387283,-0.010910052806138992
108,-0.01383461058139801,-0.00914253294467926
109,-0.01274116337299347,-0.00756584107875824
110,-0.013453122228384018,-0.0062052905559539795
111,-0.01455947756767273,-0.007514879107475281
112,-0.011164303869009018,-0.00792190432548523
113,-0.006650257855653763,-0.009600352495908737
114,-0.0052897632122039795,-0.010579414665699005
115,-0.00719703733921051,-0.01202903687953949
116,-0.00815078616142273,-0.01358024775981903
117,-0.009231548756361008,-0.012118052691221237
118,-0.009778328239917755,-0.00949859619140625
119,-0.00982917845249176,-0.00808708369731903
120,-0.009816493839025497,-0.0064341723918914795
121,-0.01077018678188324,-0.00459037721157074
122,-0.012397784739732742,-0.0046665966510772705
123,-0.011736508458852768,-0.004704874008893967
124,-0.011711139231920242,-0.00559486448764801
125,-0.013173334300518036,-0.006014518439769745
126,-0.015398729592561722,-0.007387753576040268
127,-0.013796556740999222,-0.009613037109375
128,-0.01040138304233551,-0.009218920022249222
129,-0.010579414665699005,-0.00787094235420227
130,-0.012283287942409515,-0.007934533059597015
131,-0.012639351189136505,-0.01018524169921875
132,-0.012652147561311722,-0.01248680055141449
133,-0.012728367000818253,-0.01316070556640625
134,-0.012384988367557526,-0.013237036764621735
135,-0.011965446174144745,-0.014190673828125
136,-0.012092571705579758,-0.014355909079313278
137,-0.011558588594198227,-0.012791957706212997
138,-0.01019798219203949,-0.011075399816036224
139,-0.009905397891998291,-0.010032691061496735
140,-0.00942237675189972,-0.00923149287700653
141,-0.0080108642578125,-0.00942237675189972
142,-0.008659511804580688,-0.0112152099609375
143,-0.01083366572856903,-0.013402216136455536
144,-0.010477602481842041,-0.013809241354465485
145,-0.009447857737541199,-0.01317344605922699
146,-0.009727366268634796,-0.012779273092746735
147,-0.012232549488544464,-0.01210525631904602
148,-0.01186363399028778,-0.010846517980098724
149,-0.00905357301235199,-0.008621066808700562
150,-0.008862912654876709,-0.007209889590740204
151,-0.01129142940044403,-0.008061714470386505
152,-0.013656578958034515,-0.010337792336940765
153,-0.011266060173511505,-0.011952705681324005
154,-0.00905357301235199,-0.012105479836463928
155,-0.011355020105838776,-0.012079775333404541
156,-0.014864690601825714,-0.01190185546875
157,-0.01403801143169403,-0.01122795045375824
158,-0.011291541159152985,-0.010236091911792755
159,-0.010706596076488495,-0.009460486471652985
160,-0.010236091911792755,-0.009536594152450562
161,-0.0074641406536102295,-0.010528676211833954
162,-0.004628486931324005,-0.011316798627376556
163,-0.0012207403779029846,-0.010604895651340485
164,-0.0024286285042762756,-0.009625889360904694
165,-0.002568550407886505,-0.009447634220123291
166,-0.0034713372588157654,-0.008888281881809235
167,-0.00401817262172699,-0.007705651223659515
168,-0.00570930540561676,-0.007616691291332245
169,-0.005302503705024719,-0.008392296731472015
170,-0.005518533289432526,-0.008303448557853699
171,-0.005963779985904694,-0.00788368284702301
172,-0.00993087887763977,-0.008061602711677551
173,-0.01004531979560852,-0.00822700560092926
174,-0.009218975901603699,-0.007273480296134949
175,-0.008595697581768036,-0.006027147173881531
176,-0.007807351648807526,-0.0057984888553619385
177,-0.008557699620723724,-0.00536598265171051
178,-0.008519478142261505,-0.004641115665435791
179,-0.006701163947582245,-0.0042597949504852295
180,-0.006255917251110077,-0.004768297076225281
181,-0.0060273706912994385,-0.0056965649127960205
182,-0.0069554150104522705,-0.005849339067935944
183,-0.004768408834934235,-0.005213320255279541
184,-0.0024923309683799744,-0.004297904670238495
185,-0.0011697784066200256,-0.003662109375
